questionário	questionnaire
aplicativo	application
intalar	install
quilometro	kilometer
tranquilo	assure
mesagem	message
funcionar	work
vamos	we
instalar	install
aplicativos	app
google	google
play	play
applestore	applestore
download	download
instalação	installation
audio	audio
escaneado	scanned
folhas	leave
devolutiva	return
adicionar	add
odiar	hate
acumulação	accumulation
oito	eight
acúmulo	accumulation
reciclar	recycle
vender	sell
coisasitem	thing
gratuitossem	free
comprar	buy
guardo	store
compro	buy
desnecessário	unnecessary
enorme	huge
trabalhoescolo	work
applause	applause
vinhetas	vintages
vinheta	vignette
sorteada	draw
sorteie	draw
anajoão	anajoão
acaso	chance
puro	pure
coincidência	coincidence
ana	ana
adiar	put
joão	john
irregular	irregularly
trancar	lock
encorajar	encourage
sussurra	whisper
sussurrar	whisper
reconhecimento	recognition
paranoidir	paranoid
psicosepsicótico	psychosepsis
nervosoataque	nerve
destinar	aim
barreira	barrier
percebir	perceive
buscario	seek
pediri	ask
pelos	with
acreditaria	believe
certezanão	do
joãoana	joãoana
colateral	effect
falecidosnão	do
cidadeetc	cityetc
útel	useful
úteis	useful
prejudiciais	harmful
desabafar	vent
reunir	gather
superir	overcome
gostarar	like
tentasse	try
delair	her
estigmatizante	stigmatize
discord	discord
elaer	want
quiser	to
perigosao	dangerous
provavelm	probably
trabalharir	work
convidarer	invite
exposição	exposure
selfie	selfie
absurda	absurd
vejo	see
mentalmente	mentally
stigma	stigma
coping	cope
sc	sc
discordar	disagree
preconceito	prejudice
prejudical	harmful
preparar	prepared
mídias	media
necessite	require
mídia	medium
site	website
streaming	spotify
youtube	youtube
spotify	to
preferencialmente	prefer
estimular	stimulate
smartv	smartv
postagem	post
especificar	specify
instragr	instagram
twitter	twitter
tabletr	tablet
joguaber	play
seguer	row
online	online
compulsivo	compulsive
inserir	insert
fornecedor	provider
financiar	finance
secretaria	secretary
especializada	specialty
parceira	partner
ru	ru
falecidoa	of
nomes	names
gêmeo	twin
consistência	consistency
idêntico	identical
gemeos	twins
cheque	check
coincidir	match
condicional	conditional
mencionado	mention
pergunto	question
mae	mother
cansada	tired
falante	talkative
acontecir	happen
piscina	pool
lagar	lake
pretendente	suitor
palestra	lecture
envergonhar	ashamed
acrescentar	add
perfeitas	perfect
exatas	exact
arrumacão	tidying
bactéria	bacteria
ritualizar	ritualized
impróprio	inappropriate
confessar	confess
fantasia	fantasy
conspirar	conspire
grade	bar
julgado	find
embriagar	drunk
apegado	attached
aulas	class
quebrava	break
valiosos	valuable
discuter	argue
ped	of
rancoroso	spiteful
vingativo	vindictive
desafiador	defiant
desatento	inattentive
esquecir	forget
impulsivo	impulsive
intrometir	intrude
meninosmenina	boysgirl
doloroso	painful
conversamos	talk
comentado	comment
inventário	inventory
beck	beck
cotação	quotation
ccoottaaççããoo	ccoottaction
ânimo	mind
neura	nervous
penoso	for
suportar	bear
pessimismo	pessimism
demasiado	overly
pessimista	pessimistic
desencorajar	discourage
surja	future
fracasso	failure
fracassar	fail
realizeir	accomplish
analiso	analyze
noto	notice
imensidade	immensity
insatisfação	dissatisfaction
descontente	unhappy
obtenhar	get
alegrar	happy
antigamente	use
culpabilidade	guilt
permanentementir	permanently
valhor	worth
punição	punishment
pressentimento	feeling
castigar	punish
mereço	deserve
ódio	hate
desiludido	disillusioned
desgostoso	disgusted
desejos	desire
suicidas	suicidal
concretizar	carry
crer	believe
choro	crying
actualmente	currently
passo	spend
sequer	even
fàcilmente	easily
permanentemente	permanently
afastamento	removal
perdir	lose
perdi	lose
simpatia	sympathy
importar	have
incapacidade	inability
procuro	try
distorção	distortion
modificação	change
feio	ugly
perturbações	disorder
fatigabilidade	fatigability
hipocondria	hypochondria
disposião	upset
noutra	anything
tranquiloa	calm
sangrar	bleed
lesivo	harmful
rubrico	person
transcriptoma	transcriptome
nuco	of
alfinete	pin
assegurar	ensure
estético	aesthetic
deitar	lie
quaisquer	any
químico	chemical
confie	trust
motivacional	motivational
disponhar	willing
prefiro	prefer
dispostoa	willing
apego	attachment
companheirosa	partners
sozinhao	alone
agredido	assault
chamas	burn
aborreço	annoy
escolauniversidade	school
desanimadoar	discourage
autoagressão	harm
professorinstrutor	teacher
etemr	ehas
sossegar	settle
finalizar	finalize
professortutor	schooluniversity
iniciou	initiated
machucou	hurt
diriar	would
osuas	its
observada	observe
cbem	cbem
pseudopalavras	pseud
tepp	tepp
escreve	write
solicitado	request
ouvida	hear
fornecida	provide
analisado	analyzed
manifestadas	manifested
ortograficamente	spellingly
veneziana	venetian
farda	uniform
disco	disco
pata	paw
tartaruga	turtle
céu	sky
marte	mars
planeta	planet
teia	web
estrada	road
louça	dishware
haste	stem
seringa	syringe
faxineiro	janitor
guloseima	dainty
estofado	upholstery
persiana	blind
juba	mane
comércio	business
nudez	nudity
massa	pasta
cortina	curtain
luar	moonlight
asa	wing
lágrima	teardrop
macho	male
cozinha	kitchen
gravata	necktie
sílabas	tender
tônicas	syllables
sublinhadas	underlined
parênteses	parenthesis
trolhaba	trolhaba
troliaba	troliaba
cheno	cheno
xeno	xeno
bove	bove
bovi	bovi
tarpuga	tarpuga
conhazi	conhazi
conhasi	conhasi
soufa	solfa
solfar	sofa
ívua	iva
midiço	midi
midisso	midi
veziona	time
vesionar	see
mipa	mipa
pirsano	pirsano
pirçano	pirçano
pirçanu	pirçanu
pirsanu	pirsanu
fopel	fopel
fopéu	fopéu
deznu	ten
desnu	naked
desno	disown
gilanero	gilanero
jilanero	jilanero
jilaneru	jilaneru
gilaneru	gilaneru
dache	dache
daxe	daxe
daxi	daxi
dachi	dachi
dorrina	dorrina
vataga	vataga
lozeina	lozein
loseina	loseine
coniva	coniva
feci	feci
fessi	fessi
viar	travel
juseira	juseira
juzeira	juzeira
felu	felu
felo	felo
zacré	zacre
tlpp	words
apresentado	present
centralizado	centralized
gravada	recorded
registrada	registered
amarelo	yellow
lesma	slug
felino	feline
correnteza	current
jaula	cage
farelo	bran
tosse	cough
selva	jungle
torta	pie
rosa	pink
chinelo	slipper
taxímetro	taximeter
meia	half
acerola	acerola
gosma	goop
fermento	yeast
leite	milk
gola	collar
terra	earth
saxofone	saxophone
cárie	caries
terno	suit
exército	army
teile	teile
rorola	rorola
gadra	gadra
jenala	jenala
varte	varte
mesla	table
chonile	chonile
lajau	lajau
taspobe	taskobe
tomenfo	tomenpho
maralo	maralo
bafau	bafau
tisso	tisso
zarronte	zarronte
moxe	moxe
ks	ks
bolefu	bolefu
senjo	senjo
nurto	nutty
tilhu	tilhu
divairo	divairo
fosaxone	phosaxone
zareo	zareo
etixero	etixero
cavermo	cavermo
adesivo	adhesive
fechamento	closing
swab	swab
isopropílico	isopropyl
contendo	contain
coletador	collector
alumínio	aluminum
selo	seal
chromatox	chromatox
lacre	destructive
inviolável	label
autodestrutiva	seal
lacrar	envelope
barbeador	shaver
descartável	disposable
pente	comb
presilha	clamp
higiene	hygiene
higienize	hygienize
gel	gel
mecha	hair
fios	threads
espessura	thickness
torcer	twist
rente	close
couto	hair
cabeludo	lock
couro	leather
raiz	the
cortado	cut
bolinha	ball
projetado	design
dobrar	fold
segura	safe
pacotinho	package
pêlo	through
corporais	body
poderão	can
colhidos	picked
pêlos	hair
axila	preferably
virilha	groin
região	region
gramas	grams
pernas	leg
misturados	mixed
chumaço	pack
analisados	analyzed
integralmente	fully
acondicionar	condition
perfurocortante	drilling
espionar	spy
discorr	disagree
usqt	usqt
informado	informed
prossiga	proceed
feita	make
viveviver	live
ema	clinic
resppstas	answer
especifiquer	specify
saca	bag
confia	not
concentrarmo	focus
tento	try
líbido	libido
questionmark	questionmark
ando	am
cuida	care
